lon,lat
-86.68433380126953,22.12279510498047
-86.69149780273438,22.133268356323242
-86.701904296875,22.142431259155273
-86.7107925415039,22.151901245117188
-86.72008514404297,22.159543991088867
-86.72745513916016,22.165081024169922
-86.73580932617188,22.17157554626465
-86.74351501464844,22.180015563964844
-86.75184631347656,22.185535430908203
-86.7584457397461,22.189664840698242
-86.765869140625,22.195158004760742
-86.77098083496094,22.199939727783203
-86.7739486694336,22.204477310180664
-86.77859497070312,22.210308074951172
-86.78490447998047,22.21643829345703
-86.78904724121094,22.219858169555664
-86.79438018798828,22.223339080810547
-86.79974365234375,22.227005004882812
-86.80470275878906,22.228971481323242
-86.80976867675781,22.23276710510254
-86.81401824951172,22.235612869262695
-86.82002258300781,22.236886978149414
-86.82664489746094,22.239896774291992
-86.83196258544922,22.24141502380371
-86.83829498291016,22.24321937561035
-86.84349822998047,22.24460792541504
-86.84949493408203,22.24684715270996
-86.8542709350586,22.247901916503906
-86.85862731933594,22.24993133544922
-86.86519622802734,22.250911712646484
-86.8710708618164,22.251144409179688
-86.87395477294922,22.25065803527832
-86.88045501708984,22.250747680664062
-86.88800048828125,22.2528133392334
-86.89352416992188,22.25490951538086
-86.8996353149414,22.25507926940918
-86.90463256835938,22.256256103515625
-86.91081237792969,22.257917404174805
-86.91509246826172,22.26056480407715
-86.9190902709961,22.263277053833008
-86.92729949951172,22.264324188232422
-86.93290710449219,22.266176223754883
-86.93769073486328,22.268428802490234
-86.94220733642578,22.269689559936523
-86.9450912475586,22.271543502807617
-86.94953918457031,22.274534225463867
-86.95491027832031,22.276254653930664
-86.95885467529297,22.276670455932617
-86.96302032470703,22.27686882019043
-86.96871948242188,22.2775936126709
-86.97056579589844,22.280221939086914
-86.97233581542969,22.28122901916504
-86.97695922851562,22.2814884185791
-86.98303985595703,22.280458450317383
-86.98773956298828,22.280900955200195
-86.99234008789062,22.283660888671875
-86.99612426757812,22.28468894958496
-87.00041198730469,22.285823822021484
-87.00534057617188,22.286779403686523
-87.01031494140625,22.286216735839844
-87.01481628417969,22.28757095336914
-87.01826477050781,22.289142608642578
-87.02202606201172,22.291423797607422
-87.02426147460938,22.29298973083496
-87.02891540527344,22.295316696166992
-87.0336685180664,22.297658920288086
-87.0374526977539,22.299209594726562
-87.0408706665039,22.299474716186523
-87.04519653320312,22.30060577392578
-87.05029296875,22.30221939086914
-87.05411529541016,22.30251693725586
-87.06009674072266,22.302675247192383
-87.06361389160156,22.305374145507812
-87.06605529785156,22.306318283081055
