month,log_biomasa,post_2011,fuente,sst,sst_anom,uwnd_ms,vwnd_ms,onshore_cozumel_ms,sst_anom_lag1
2021-08,1.9534839292867188,1,mendeley,29.42,-0.5150000000000006,-3.35,-0.02,-2.37,-0.3999999999999986
2021-09,1.4920230065351643,1,mendeley,29.25,-0.7666666666666657,-3.15,0.4,-1.93,-0.5150000000000006
2021-10,0.32618621959257565,1,mendeley,29.34,-0.10999999999999943,-2.11,-0.61,-1.9,-0.7666666666666657
2021-11,-0.24578844028197966,1,mendeley,28.2,-0.09333333333333371,-2.37,-3.24,-3.93,-0.10999999999999943
2021-12,0.2955229298264841,1,mendeley,27.34,0.10000000000000142,-3.82,-0.68,-3.15,-0.09333333333333371
2022-01,1.066098112075932,1,mendeley,26.6,0.18428571428571772,-2.57,-2.01,-3.2,0.10000000000000142
2022-02,0.9305633552979663,1,mendeley,25.93,-0.08142857142857096,-4.09,-2.05,-4.3,0.18428571428571772
2022-03,1.0382777122050426,1,mendeley,26.38,-0.018571428571426907,-4.16,-0.31,-3.13,-0.08142857142857096
2022-04,2.432449441756794,1,mendeley,26.94,-0.08428571428571274,-4.59,0.04,-3.19,-0.018571428571426907
2022-05,2.767868815205618,1,mendeley,27.73,-0.4400000000000013,-3.97,0.97,-2.1,-0.08428571428571274
2022-06,3.0687924108755453,1,mendeley,28.22,-0.6750000000000007,-3.22,0.1,-2.18,-0.4400000000000013
2022-07,2.6198398157674423,1,mendeley,29.39,-0.05999999999999872,-3.86,-0.35,-2.95,-0.6750000000000007
2022-08,2.096947658667503,1,mendeley,29.58,-0.355000000000004,-3.38,-0.18,-2.49,-0.05999999999999872
2022-09,1.899393644939304,1,mendeley,29.53,-0.4866666666666646,-1.84,-0.73,-1.8,-0.355000000000004
2022-10,0.9919232779202615,1,mendeley,28.9,-0.5500000000000007,-2.63,-1.56,-2.94,-0.4866666666666646
2022-11,0.08302050898415997,1,mendeley,28.2,-0.09333333333333371,-3.0,-1.32,-3.02,-0.5500000000000007
2022-12,1.3760417775367968,1,mendeley,27.31,0.07000000000000028,-3.89,-1.62,-3.86,-0.09333333333333371
2023-01,2.1274494718193635,1,mendeley,26.26,-0.15571428571428214,-3.92,-0.58,-3.15,0.07000000000000028
2023-02,1.776128626286802,1,mendeley,26.07,0.05857142857142961,-4.37,-0.59,-3.47,-0.15571428571428214
2023-03,2.539016319401406,1,mendeley,26.34,-0.058571428571426054,-4.31,0.95,-2.35,0.05857142857142961
2023-04,2.381889159342226,1,mendeley,27.15,0.12571428571428456,-3.57,0.9,-1.87,-0.058571428571426054
2023-05,2.2165608994071757,1,mendeley,28.34,0.16999999999999815,-3.09,0.0,-2.16,0.12571428571428456
2023-06,2.161967852515529,1,mendeley,29.39,0.495000000000001,-2.57,1.25,-0.93,0.16999999999999815
2023-07,1.6024857562024077,1,mendeley,29.88,0.4299999999999997,-3.89,-0.15,-2.83,0.495000000000001
2023-08,1.5588356547989082,1,mendeley,30.33,0.394999999999996,-2.18,-0.06,-1.57,0.4299999999999997
2023-09,0.9751715947148725,1,mendeley,30.42,0.403333333333336,-2.02,-0.43,-1.72,0.394999999999996
2023-10,-0.10522270607361658,1,mendeley,29.97,0.5199999999999996,-2.6,-1.23,-2.68,0.403333333333336
2023-11,0.4882744092109112,1,mendeley,28.44,0.14666666666666828,-2.63,-2.58,-3.65,0.5199999999999996
